subject,question,answer
Legal & Financing Questions,"What is the total all-inclusive cost for a plot, including stamp duty and registration?","The total all-inclusive cost is calculated based on the current government guidelines for stamp duty and registration, typically around 7-8% on top of the base price."
Legal & Financing Questions,Is the land clear of all encumbrances and litigation?,"Yes, we guarantee that the land has a clear and marketable title, free from any litigation or third-party claims."
Legal & Financing Questions,Can I see a copy of the Approved Layout Plan?,The Approved Layout Plan (Sanctioned Plan) is available for inspection at our sales office. Please contact the sales team to schedule a viewing.
Legal & Financing Questions,What documents will I receive immediately upon booking?,You will immediately receive a Booking Confirmation Letter and a copy of the Payment Schedule agreement.
Legal & Financing Questions,What are the permissible FSI (Floor Space Index) for these plots?,"The permissible FSI is 1.2, allowing for substantial construction as per the municipal building codes."
Legal & Financing Questions,What is the penalty for delayed payment installments?,A penalty of 18% per annum will be charged on the delayed installment amount after a 15-day grace period.
General Project & Amenities,Is there provision for underground electrical wiring and drainage?,"Yes, all electrical wiring and drainage lines are installed underground to ensure a clean and aesthetically pleasing environment."
General Project & Amenities,What is the source of water supply for the project?,"The primary source is the municipal water connection, supplemented by a high-capacity borewell for landscaping purposes."
General Project & Amenities,What is the width of the internal roads in the layout?,"The main internal roads are 40 feet wide, and all secondary roads are 30 feet wide."
General Project & Amenities,Is there 24/7 security or CCTV surveillance?,"Yes, we provide 24/7 manned security at the main gate and full CCTV coverage for the common areas."
General Project & Amenities,Are there any common amenities like a park or clubhouse?,A dedicated central park and a multipurpose clubhouse with a gym and function hall are included in the project plan.
General Project & Amenities,What are the annual maintenance charges?,"The current annual maintenance charge for common areas and utilities is ?15,000 per plot."
General Project & Amenities,Are the plots Vastu-compliant?,Plot layouts generally follow Vastu guidelines. We have specific North-facing and East-facing plots available on request.
General Project & Amenities,What is the proximity to the nearest school or hospital?,"The nearest reputable school is 3 km away, and a major hospital is within a 5 km radius."
General Project & Amenities,"When will the infrastructure (roads, water, electricity) be fully completed?",All major infrastructure will be completed and handed over to the association by the end of Q3 2026.
